Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2020-01-21,255.0,255.0,247.0,250.0,-0.79,8554.0,294.0,2150.13
2020-01-20,238.5,253.5,235.5,252.0,5.44,17305.0,539.0,4272.28
2020-01-17,234.0,246.0,232.0,239.0,-0.83,36171.0,607.0,8660.26
2020-01-16,234.0,245.0,226.0,241.0,3.88,33879.0,864.0,8041.48
2020-01-15,250.0,252.0,232.0,232.0,-6.83,33022.0,941.0,8038.49
2020-01-14,244.5,250.5,239.0,249.0,2.68,17527.0,524.0,4325.41
2020-01-13,237.5,243.0,236.5,242.5,2.75,15693.0,425.0,3756.26
2020-01-10,242.0,246.0,235.5,236.0,-2.88,25243.0,978.0,6063.43
2020-01-09,228.0,244.0,226.0,243.0,7.52,38133.0,1201.0,8993.88
2020-01-08,213.0,229.0,213.0,226.0,5.61,49294.0,1288.0,10934.65
2020-01-07,209.0,216.5,209.0,214.0,2.88,21232.0,764.0,4526.92
2020-01-03,205.5,209.5,204.0,208.0,1.22,12582.0,507.0,2602.65
2020-01-02,200.0,207.5,199.0,205.5,3.79,22189.0,639.0,4539.68
2019-12-30,198.0,204.0,197.0,198.0,0.0,36623.0,656.0,7310.79
2019-12-27,207.0,212.0,198.0,198.0,-3.88,42754.0,1090.0,8599.66
2019-12-23,211.5,218.5,204.0,206.0,-1.44,28776.0,785.0,6014.1
2019-12-20,218.5,218.5,209.0,209.0,-4.35,24673.0,491.0,5258.08
2019-12-19,214.5,219.5,213.5,218.5,1.86,15585.0,552.0,3390.84
2019-12-18,209.0,216.0,206.0,214.5,2.63,21493.0,591.0,4572.74
2019-12-17,197.8,209.0,191.2,209.0,5.45,19125.0,556.0,3878.56
2019-12-16,200.0,200.0,196.8,198.2,-0.6,3369.0,147.0,668.34
2019-12-13,204.0,204.0,196.0,199.4,-2.97,11542.0,489.0,2296.98
2019-12-12,192.4,205.5,191.0,205.5,7.59,54090.0,1242.0,10790.79
2019-12-11,183.6,191.0,183.4,191.0,4.14,14916.0,378.0,2794.88
2019-12-10,178.6,183.6,177.0,183.4,3.15,5426.0,182.0,977.15
2019-12-09,177.6,179.6,177.0,177.8,-0.22,5227.0,168.0,928.22
2019-12-06,179.0,179.8,177.0,178.2,-0.45,3585.0,284.0,638.34
2019-12-05,180.0,180.0,177.6,179.0,-0.67,4273.0,128.0,763.55
2019-12-04,180.0,182.0,177.8,180.2,0.9,6925.0,270.0,1251.04
2019-12-03,174.6,180.6,174.2,178.6,2.06,14829.0,321.0,2633.09
2019-12-02,167.6,175.6,167.6,175.0,4.79,16051.0,378.0,2781.36
2019-11-29,170.0,170.0,164.4,167.0,-1.76,18178.0,393.0,3035.17
2019-11-28,173.0,173.0,167.2,170.0,-1.16,19827.0,235.0,3368.78
2019-11-27,177.0,177.0,170.4,172.0,-1.15,9880.0,311.0,1721.1
2019-11-26,177.8,177.8,172.6,174.0,-1.69,5200.0,179.0,907.95
2019-11-25,177.0,179.0,176.0,177.0,0.23,5095.0,310.0,903.75
2019-11-22,176.8,177.0,174.0,176.6,-0.23,3549.0,215.0,622.38
2019-11-21,170.0,177.2,170.0,177.0,4.49,15520.0,506.0,2711.37
2019-11-20,166.6,169.4,165.4,169.4,1.68,24097.0,212.0,4038.51
2019-11-19,165.6,167.6,163.0,166.6,0.36,3542.0,298.0,585.99
2019-11-18,168.6,168.6,162.0,166.0,-0.84,7283.0,316.0,1203.58
2019-11-15,161.0,169.2,161.0,167.4,2.7,9488.0,375.0,1570.55
2019-11-14,168.0,170.2,159.6,163.0,-2.63,14966.0,433.0,2445.07
2019-11-13,169.0,169.6,167.2,167.4,0.0,2594.0,157.0,436.81
